x,y,date,year,month,month_name,station
-0.3816321,-1.60018,2021-04-29,2021,4,Abr,MER
0.43105808,-1.0203393,2021-04-30,2021,4,Abr,MER
0.28056848,-4.5355124,2021-05-01,2021,5,May,BJU
0.27337372,-5.799482,2021-05-02,2021,5,May,UAX
0.624485,-4.378797,2021-05-03,2021,5,May,UAX
-0.11324357,-5.4909196,2021-05-04,2021,5,May,UAX
-0.11107718,-4.4990435,2021-05-05,2021,5,May,BJU
0.73927116,-4.566714,2021-05-06,2021,5,May,BJU
0.41190195,-6.2433686,2021-05-07,2021,5,May,MER
-0.2593702,-4.5372005,2021-05-08,2021,5,May,MER
-0.4059943,-4.994747,2021-05-09,2021,5,May,BJU
-0.64364684,-5.2773485,2021-05-10,2021,5,May,UAX
0.3079716,-3.4418871,2021-05-11,2021,5,May,BJU
0.4266312,-3.2668436,2021-05-12,2021,5,May,BJU
2.3148773,-5.1463513,2021-05-13,2021,5,May,BJU
1.4563129,-4.126269,2021-05-14,2021,5,May,MER
0.93257725,-3.221439,2021-05-15,2021,5,May,MER
0.013048536,-5.499148,2021-05-16,2021,5,May,MER
0.10476906,-3.3727877,2021-05-17,2021,5,May,BJU
0.12750906,-2.2069035,2021-05-18,2021,5,May,UAX
0.13736224,-2.4466789,2021-05-19,2021,5,May,UAX
-0.94307244,-3.7971354,2021-05-20,2021,5,May,UAX
-0.5354147,-5.1091304,2021-05-21,2021,5,May,BJU
-0.57652223,-5.7050776,2021-05-22,2021,5,May,MER
-0.48102915,-6.4095864,2021-05-23,2021,5,May,MER
-0.005616897,-5.279963,2021-05-24,2021,5,May,MER
0.75164664,-1.9496886,2021-05-25,2021,5,May,UAX
0.15344822,-3.0304337,2021-05-26,2021,5,May,MER
-0.19448757,-3.9329739,2021-05-27,2021,5,May,MER
-1.1291193,-3.9013627,2021-05-28,2021,5,May,UAX
-0.7274654,-6.0863423,2021-05-29,2021,5,May,MER
0.41029918,-4.9881005,2021-05-30,2021,5,May,MER
-0.028325908,-4.2328634,2021-05-31,2021,5,May,BJU
-0.49530733,-5.478704,2021-06-01,2021,6,Jun,UAX
0.8788397,-3.1774867,2021-06-02,2021,6,Jun,UAX
0.64296985,-3.0190454,2021-06-03,2021,6,Jun,UAX
3.6893222,-2.5611002,2021-06-04,2021,6,Jun,MER
2.293306,-1.7183918,2021-06-05,2021,6,Jun,UAX
-0.029552333,-3.5742993,2021-06-06,2021,6,Jun,UAX
0.1888277,-2.2887614,2021-06-07,2021,6,Jun,BJU
-0.13576367,-0.9046676,2021-06-08,2021,6,Jun,MER
1.1648563,-1.3324589,2021-06-09,2021,6,Jun,UAX
